,Formatted Date,Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Daily Summary
87693,2016-04-10 00:00:00.000 +0200,Overcast,rain,9.927777777777775,7.927777777777781,0.8,14.296800000000005,280.0,9.982,0.0,1004.82,Overcast throughout the day.
87694,2016-04-10 01:00:00.000 +0200,Mostly Cloudy,rain,9.4,6.949999999999999,0.83,16.985500000000002,280.0,9.982,0.0,1005.02,Overcast throughout the day.
87695,2016-04-10 02:00:00.000 +0200,Mostly Cloudy,rain,9.38888888888889,7.116666666666668,0.84,15.456,302.0,11.6886,0.0,1004.9,Overcast throughout the day.
87696,2016-04-10 03:00:00.000 +0200,Mostly Cloudy,rain,9.25,7.255555555555556,0.84,13.1376,302.0,11.6886,0.0,1005.04,Overcast throughout the day.
87697,2016-04-10 04:00:00.000 +0200,Mostly Cloudy,rain,8.75,6.966666666666666,0.83,11.0929,290.0,11.9784,0.0,1005.23,Overcast throughout the day.
87698,2016-04-10 05:00:00.000 +0200,Mostly Cloudy,rain,7.883333333333332,6.011111111111111,0.89,10.5616,286.0,9.982,0.0,1005.5,Overcast throughout the day.
87699,2016-04-10 06:00:00.000 +0200,Overcast,rain,7.733333333333334,6.338888888888887,0.89,8.0822,264.0,9.982,0.0,1005.72,Overcast throughout the day.
87700,2016-04-10 07:00:00.000 +0200,Overcast,rain,7.76111111111111,6.072222222222222,0.89,9.4829,254.0,9.982,0.0,1006.03,Overcast throughout the day.
87701,2016-04-10 08:00:00.000 +0200,Overcast,rain,8.800000000000002,6.849999999999999,0.89,12.1555,285.0,9.982,0.0,1006.49,Overcast throughout the day.
87702,2016-04-10 09:00:00.000 +0200,Overcast,rain,8.866666666666667,6.433333333333333,0.89,15.778000000000002,281.0,9.982,0.0,1006.54,Overcast throughout the day.
87703,2016-04-10 10:00:00.000 +0200,Overcast,rain,9.97777777777778,7.633333333333335,0.83,17.3558,292.0,9.982,0.0,1007.14,Overcast throughout the day.
87704,2016-04-10 11:00:00.000 +0200,Overcast,rain,11.033333333333331,11.033333333333331,0.77,13.894300000000005,294.0,9.982,0.0,1007.61,Overcast throughout the day.
87705,2016-04-10 12:00:00.000 +0200,Overcast,rain,11.161111111111111,11.161111111111111,0.77,15.906800000000002,281.0,9.982,0.0,1007.84,Overcast throughout the day.
87706,2016-04-10 13:00:00.000 +0200,Overcast,rain,12.2,12.2,0.72,15.9712,300.0,9.982,0.0,1008.03,Overcast throughout the day.
87707,2016-04-10 14:00:00.000 +0200,Overcast,rain,12.322222222222225,12.322222222222225,0.71,16.6796,304.0,10.3523,0.0,1008.23,Overcast throughout the day.
87708,2016-04-10 15:00:00.000 +0200,Overcast,rain,12.755555555555556,12.755555555555556,0.72,21.670600000000004,310.0,9.982,0.0,1007.85,Overcast throughout the day.
87709,2016-04-10 16:00:00.000 +0200,Overcast,rain,12.755555555555556,12.755555555555556,0.72,23.506,311.0,9.982,0.0,1007.85,Overcast throughout the day.
87710,2016-04-10 17:00:00.000 +0200,Overcast,rain,12.77777777777778,12.77777777777778,0.71,20.5114,304.0,10.3523,0.0,1008.38,Overcast throughout the day.
87711,2016-04-10 18:00:00.000 +0200,Overcast,rain,12.755555555555556,12.755555555555556,0.69,17.661700000000003,310.0,9.982,0.0,1008.64,Overcast throughout the day.
87712,2016-04-10 19:00:00.000 +0200,Overcast,rain,12.22222222222222,12.22222222222222,0.72,15.922900000000002,301.0,9.982,0.0,1009.05,Overcast throughout the day.
87713,2016-04-10 20:00:00.000 +0200,Overcast,rain,12.111111111111107,12.111111111111107,0.72,14.715400000000002,295.0,10.3523,0.0,1009.41,Overcast throughout the day.
87714,2016-04-10 21:00:00.000 +0200,Overcast,rain,12.127777777777776,12.127777777777776,0.72,12.6868,310.0,10.2557,0.0,1009.84,Overcast throughout the day.
87715,2016-04-10 22:00:00.000 +0200,Overcast,rain,11.55,11.55,0.74,14.329,301.0,16.1,0.0,1010.04,Overcast throughout the day.
87716,2016-04-10 23:00:00.000 +0200,Overcast,rain,10.616666666666667,10.616666666666667,0.79,13.846,304.0,15.1823,0.0,1010.17,Overcast throughout the day.
87717,2016-04-11 00:00:00.000 +0200,Overcast,rain,10.0,7.672222222222223,0.82,17.243100000000002,291.0,16.1,0.0,1010.25,Mostly cloudy until evening.
87718,2016-04-11 01:00:00.000 +0200,Overcast,rain,10.488888888888887,10.488888888888887,0.8,14.168000000000005,300.0,15.1823,0.0,1010.16,Mostly cloudy until evening.
87719,2016-04-11 02:00:00.000 +0200,Overcast,rain,10.36111111111111,10.36111111111111,0.78,13.6045,312.0,14.9569,0.0,1010.19,Mostly cloudy until evening.
87720,2016-04-11 03:00:00.000 +0200,Overcast,rain,9.905555555555557,7.938888888888887,0.8,14.007,309.0,15.826300000000002,0.0,1010.26,Mostly cloudy until evening.
87721,2016-04-11 04:00:00.000 +0200,Overcast,rain,9.883333333333333,8.311111111111112,0.8,11.2056,300.0,15.826300000000002,0.0,1010.46,Mostly cloudy until evening.
87722,2016-04-11 05:00:00.000 +0200,Overcast,rain,9.36111111111111,7.372222222222224,0.84,13.2664,301.0,14.9569,0.0,1010.6,Mostly cloudy until evening.
87723,2016-04-11 06:00:00.000 +0200,Overcast,rain,9.822222222222225,7.650000000000002,0.78,15.4721,310.0,9.982,0.0,1010.77,Mostly cloudy until evening.
87724,2016-04-11 07:00:00.000 +0200,Overcast,rain,9.822222222222225,7.833333333333333,0.78,13.9909,309.0,9.982,0.0,1011.36,Mostly cloudy until evening.
87725,2016-04-11 08:00:00.000 +0200,Overcast,rain,9.805555555555555,7.866666666666664,0.79,13.5884,302.0,9.982,0.0,1011.85,Mostly cloudy until evening.
87726,2016-04-11 09:00:00.000 +0200,Overcast,rain,9.933333333333334,7.772222222222224,0.77,15.633100000000002,299.0,9.982,0.0,1011.97,Mostly cloudy until evening.
87727,2016-04-11 10:00:00.000 +0200,Overcast,rain,11.016666666666666,11.016666666666666,0.77,12.8478,299.0,9.982,0.0,1012.36,Mostly cloudy until evening.
87728,2016-04-11 11:00:00.000 +0200,Overcast,rain,12.13888888888889,12.13888888888889,0.74,12.1072,300.0,10.3523,0.0,1012.39,Mostly cloudy until evening.
87729,2016-04-11 12:00:00.000 +0200,Overcast,rain,13.794444444444444,13.794444444444444,0.72,9.7083,299.0,9.982,0.0,1012.46,Mostly cloudy until evening.
87730,2016-04-11 13:00:00.000 +0200,Overcast,rain,14.949999999999998,14.949999999999998,0.62,9.66,272.0,9.982,0.0,1012.24,Mostly cloudy until evening.
87731,2016-04-11 14:00:00.000 +0200,Overcast,rain,16.049999999999997,16.049999999999997,0.62,5.6028,285.0,10.3523,0.0,1012.19,Mostly cloudy until evening.
87732,2016-04-11 15:00:00.000 +0200,Overcast,rain,16.177777777777777,16.177777777777777,0.62,8.1466,284.0,9.982,0.0,1012.0,Mostly cloudy until evening.
87733,2016-04-11 16:00:00.000 +0200,Mostly Cloudy,rain,17.266666666666666,17.266666666666666,0.62,5.0715,352.0,9.982,0.0,1011.61,Mostly cloudy until evening.
