date,observed,trend,seasonal,resid,seasonally_adjusted,residual_abs,is_large_residual
1975-01-01,330.25,330.50913711346726,-0.017639688866554277,-0.2414974246007091,330.26763968886655,0.2414974246007091,False
1975-02-01,331.3,330.6129015345807,0.5507742854252805,0.1363241799940056,330.7492257145747,0.1363241799940056,False
1975-03-01,332.0,330.71586505228635,1.4629019589883723,-0.17876701127471506,330.53709804101163,0.17876701127471506,False
1975-04-01,333.275,330.8179914201067,2.4281151080941035,0.028893471799165127,330.84688489190586,0.028893471799165127,False
1975-05-01,333.86,330.91928691011975,2.8069557976920385,0.13375729218824972,331.053044202308,0.13375729218824972,False
1975-06-01,333.4,331.01975834628496,2.3943671416238352,-0.014125487908813739,331.00563285837615,0.014125487908813739,False
1975-07-01,331.8,331.1193723800197,0.744426699310512,-0.06379907933018103,331.0555733006895,0.06379907933018103,False
1975-08-01,329.98,331.21809138509883,-1.2529367060673091,0.014845320968504438,331.23293670606733,0.014845320968504438,False
1975-09-01,328.525,331.3159060309255,-2.8016204146301016,0.010714383704623742,331.3266204146301,0.010714383704623742,False
1975-10-01,328.325,331.41284194067657,-3.1963880300104752,0.10854608933391319,331.5213880300105,0.10854608933391319,False
1975-11-01,329.44,331.5089579105088,-2.181969766275566,0.11301185576678563,331.6219697662756,0.11301185576678563,False
1975-12-01,330.775,331.6040300511174,-0.9820348761146972,0.1530048249973106,331.7570348761147,0.1530048249973106,False
1976-01-01,331.74,331.6961618332827,-0.013815204017046761,0.057653370734328746,331.75381520401703,0.057653370734328746,False
1976-02-01,332.55,331.77644032206223,0.5519477895539763,0.22161188838379076,331.998052210446,0.22161188838379076,False
1976-03-01,333.45000000000005,331.8565928668333,1.50101041765297,0.0923967155137575,331.94898958234705,0.0923967155137575,False
1976-04-01,334.45,331.937929712736,2.4586266540314883,0.05344363323251855,331.9913733459685,0.05344363323251855,False
1976-05-01,334.76,332.02143375224756,2.831051679116312,-0.09248543136385479,331.9289483208837,0.09248543136385479,False
1976-06-01,334.40000000000003,332.10848957049,2.3958842301036474,-0.10437380059363477,332.0041157698964,0.10437380059363477,False
1976-07-01,332.86,332.2012502827599,0.7421084361948718,-0.08335871895474156,332.11789156380513,0.08335871895474156,False
1976-08-01,330.725,332.3015477472497,-1.2551430752141854,-0.3214046720354986,331.9801430752142,0.3214046720354986,False
1976-09-01,329.35,332.4106850776575,-2.8758700648251727,-0.18481501283230273,332.2258700648252,0.18481501283230273,False
1976-10-01,329.1,332.5296446192084,-3.2146005360832053,-0.21504408312517853,332.3146005360832,0.21504408312517853,False
1976-11-01,330.35,332.65921452765366,-2.1805426404704558,-0.12867188718320222,332.53054264047046,0.12867188718320222,False
1976-12-01,331.625,332.79914631818656,-0.9839827911869068,-0.19016352699964045,332.6089827911869,0.19016352699964045,False
1977-01-01,332.88,332.94837732387987,-0.013996069345044791,-0.05438125453480325,332.89399606934506,0.05438125453480325,False
1977-02-01,333.425,333.1058888598556,0.5568276865185109,-0.237716546374088,332.8681723134815,0.237716546374088,False
1977-03-01,334.70000000000005,333.26993217397967,1.5341753373345177,-0.10410751131416873,333.1658246626655,0.10410751131416873,False
